Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
"",,,HYUNDAI H100 SHUTTLE 2.6L (FL) WITH DUAL,,,,,
1124,AXIS TOWER,2016,,NDE4216,MR2700,CREAMY WHITE,"79,346","302,900.00"
"",,,AIRCON MT,,,,,
1125,AXIS TOWER,2019,HYUNDAI KONA 2.0 GLS 6AT 2WD,CAS6125,K1B945,RED,"68,131","531,250.00"
1126,ENTRATA,2019,HYUNDAI KONA 2.0 GLS 6AT 4X2,NDL3866,K0Y525,RED,unavailable,"466,500.00"
1127,ENTRATA,2021,HYUNDAI KONA 2.0 GLS AT,DAU4787,K1X712,SILVER,"59,342","680,000.00"
1128,MARCELO GREEN,2019,HYUNDAI KONA 2.0 GLS AT,,K1C681,GREEN,"22,048","521,050.00"
1129,STA. MARIA,2019,HYUNDAI KONA 2.0 GLS AT WITH EWD,NBS5118,,WHITE,"180,896","414,400.00"
1130,PROMENADE,2019,HYUNDAI KONA GLS 2.0L 4X2 AT GAS,,K1G019,WHITE,"22,061","482,400.00"
1131,MARCELO GREEN,2019,HYUNDAI REINA 1.4 GL 5MT,NDJ2558,K0Z439,BLUE,"83,799","254,150.00"
1132,AXIS TOWER,2020,HYUNDAI REINA 1.4 GL AT,NEM1387,,BLUE,"4,585","345,950.00"
1133,AXIS TOWER,2020,HYUNDAI REINA 1.4 GL AT,LAF2302,K0V394,BLUE,"45,271","353,700.00"
1134,PROMENADE,2019,HYUNDAI REINA 1.4 GL AT,NED6152,K1C557,FIERY RED,"82,186","359,000.00"
"",,,HYUNDAI STAREX 2.5 GL 5 MT DSL SUPER,,,,,
1135,SANFORD,2017,,NAT4924,MS2721,CREAMY WHITE,"158,093","306,000.00"
"",,,EXPRESS,,,,,
1136,PROMENADE,2023,HYUNDAI STARGAZER 1.5 GL IVT,,K2X569,MIDNIGHT BLACK,"9,499","799,000.00"
